
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001874                       # Number of seconds simulated (Second)
simTicks                                   1874187672                       # Number of ticks simulated (Tick)
finalTick                                  1874187672                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     21.06                       # Real time elapsed on the host (Second)
hostTickRate                                 88978639                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8522952                       # Number of bytes of host memory used (Byte)
simInsts                                      4848347                       # Number of instructions simulated (Count)
simOps                                        4855231                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   230177                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     230504                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           588                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage     1.100000                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3187395                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         4948685                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      192                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        4916244                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1700                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                93645                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             69141                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  48                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3133145                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.569108                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.891343                       # Number of insts issued each cycle (Count)
system.cpu.dcache.tags.ageTaskId_585::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_586::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_586::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_586::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_586::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_586::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_587::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_587::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_587::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_587::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_587::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_588::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_588::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_588::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_588::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_588::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_589::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_589::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_589::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_589::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_589::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_590::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_590::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_590::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_590::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_590::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_591::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_591::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_591::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_591::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_591::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_592::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_592::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_592::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_592::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_592::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_593::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_593::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_593::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_593::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_593::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_594::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_594::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_594::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_594::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_594::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_595::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_595::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_595::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_595::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_595::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_596::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_596::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_596::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_596::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_596::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_597::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_597::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_597::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_597::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_597::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_598::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_598::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_598::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_598::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_598::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_599::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_599::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_599::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_599::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_599::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_600::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_600::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_600::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_600::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_600::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_601::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_601::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_601::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_601::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_601::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_602::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_602::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_602::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_602::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_602::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_603::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_603::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_603::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_603::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_603::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_604::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_604::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_604::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_604::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_604::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_605::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_605::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_605::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_605::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_605::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_606::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_606::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_606::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_606::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_606::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_607::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_607::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_607::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_607::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_607::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_608::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_608::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_608::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_608::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_608::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_609::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_609::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_609::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_609::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_609::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_610::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_610::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_610::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_610::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_610::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_611::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_611::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_611::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_611::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_611::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_612::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_612::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_612::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_612::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_612::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_613::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_613::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_613::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_613::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_613::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_614::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_614::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_614::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_614::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_614::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_615::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_615::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_615::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_615::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_615::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_616::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_616::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_616::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_616::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_616::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_617::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_617::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_617::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_617::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_617::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_618::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_618::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_618::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_618::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_618::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_619::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_619::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_619::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_619::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_619::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_620::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_620::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_620::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_620::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_620::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_621::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_621::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_621::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_621::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_621::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_622::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_622::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_622::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_622::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_622::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_623::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_623::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_623::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_623::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_623::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_624::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_624::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_624::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_624::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_624::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_625::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_625::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_625::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_625::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_625::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_626::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_626::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_626::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_626::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_626::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_627::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_627::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_627::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_627::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_627::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_628::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_628::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_628::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_628::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_628::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_629::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_629::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_629::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_629::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_629::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_630::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_630::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_630::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_630::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_630::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_631::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_631::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_631::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_631::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_631::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_632::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_632::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_632::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_632::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_632::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_633::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_633::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_633::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_633::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_633::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_634::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_634::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_634::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_634::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_634::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_635::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_635::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_635::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_635::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_635::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_636::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_636::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_636::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_636::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_636::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_637::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_637::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_637::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_637::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_637::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_638::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_638::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_638::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_638::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_638::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_639::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_639::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_639::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_639::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_639::4           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_640::0           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_640::1           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_640::2           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_640::3           512                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_640::4           512                       # Occupied blocks per task id, per block age (Count)
